id,vader_neg,vader_neu,vader_pos,vader_compound,name,rating,verified,date,title,body,like,dislike
18,0.087,0.847,0.066,-0.2494,JustinT,1,False,23/08/2023,Disappointed in the durability,"I have owned this item for 1-2 months. I decided to purchase this after I had used a target knock off. I have to say I am not impressed. The finish immediately started chipping off. It is so fragile, forget even placing this mug on a concrete surface without exterior damage. The coating is peeling off in multiple locations. Furthermore, I do not find this mug to have superior insulation properties in comparison to ""knock off brands"". I'm really disappointed in the durability aspect. However, I find the handle and straw a convenient design.",0,0
19,0.119,0.853,0.028,-0.7684,KristenC,2,False,26/08/2023,Opt out of the matte,"I like the bottle itself, but regret the one I chose. Within three months the matte covering was peeling off to reveal the stainless steel underneath from simply putting it in my car cupholder. I regret paying more for this matte option vs. going for the cheaper option that doesn't have a covering that can peel off with normal use.",0,0
20,0.064,0.762,0.174,0.8011,ZoeN,3,False,26/10/2023,Don't The Soft Matte!!!,I loved this product until the paint started chipping after having it for one month. I still really like the product just wouldn't recommend getting the soft matte one. My friends that have the regular non-matte ones don't have this issue which is ironic since the soft matte costs more...,0,0
21,0.105,0.835,0.06,-0.4935,RichH,3,False,23/09/2023,"Great Tumbler, Bad Matte","About 3 months ago i purchased a 40-ounce tumbler with a matte finish. For keeping drinks cool, it is without peers. Really awesome! However, unlike my wife's 40-ounce Stanley with the regular finish, the matte finish is very susceptible to scratches and nicks. Also, the matte tumbler leaves black, rings on our countertops that are hard to buff out. I love the tumbler, but regret the ""upgraded"" matte finish",0,0
22,0.084,0.759,0.157,0.679,SheilaC,4,False,17/09/2023,Great cup!,I love this cup. I drink so much more water now because of the straw. I do not like how it leaks if it tips over though. Like pours out fast. The cup has scratched at the bottom from cupholders use. That's disappointing. Other than that it's a good product! Keeps my drinks cold for 24 hours.,0,0
23,0.124,0.876,0.0,-0.7937,LynneP,2,False,24/07/2023,Coating peeling,"I'm disappointed in the coating on this tumbler. After less than 6 months of use, the coating has started to peel off the bottom of the tumbler. I'd stick with the traditional version and skip this one.  Lifetime warranty does not cover cosmetic flaws, unfortunately. While I'd give the tumbler five stars for function, overall, I'm not impressed with this version. .",0,0
24,0.127,0.704,0.169,0.3682,JamieR,3,False,02/10/2023,Chip paint,Bought the red rust as a valentines present to myself and the paint is chipping off. It hand washed and only goes to work and gym with me and no matter how careful I am the paint is chipping . Love the cup itself hate the paint. Not worth the extra money,0,0
25,0.042,0.844,0.114,0.4118,CatieL,2,False,05/10/2023,40oz matte review.,"The matte coating chips very easily, i've never dropped this cup. The ice doesn't last 11 hours like it claims. I put ice in my cup around 7 am and by noon it's all melted. Very disappointed with the quality but i still use it everyday to get my money's worth.",0,0
26,0.043,0.845,0.112,0.6512,HollyH,2,False,27/08/2023,Soft matte finish is trash,"The soft matte finish lacks durability.  My daughter received a Stanley as a birthday gift and was so excited, only to be greatly disappointed when the soft matte finish began to knick/peel off.  I have also noticed that the finish is wearing thin where the tumbler widens from the narrowed cup holder area.  She has only ever hand-washed her tumbler.  Wish Stanely had her color ""Stormy Sea"" in the standard (more durable) finish.",0,0
27,0.015,0.851,0.134,0.8825,VeronicaS,4,False,06/09/2023,Soft Matte Scratches :(,I can only speak for the “soft matte” tumblers. I purchased the dune colored one in January for myself. I LOVE this dang cup. It goes everywhere with me. It keeps my water ice cold even over night. When I purchased I could tell the material would scratch so I've been so careful with it. It was not a cheap purchase and I wanted to keep it as nice looking for as long as possible. Last night I accidentally knocked it over and it fell on my nightstand (not even the floor!) and there's a huge scratch. I definitely won't get another soft matte variety. Maybe I'm being silly but I'm bummed lol,0,0
28,0.03,0.783,0.186,0.9143,JASONA,3,False,24/07/2023,I really want to love this…,"This cup gets 3 reviews because when you get it, it is amazing!  The color and the feel. You WILL get compliments!
The tumbler integrity will probably hold like my other non matte tumblers but as many many people will attest, the paint will not stay on… mine lasted about 3 weeks before my first paint chip. I cannot recommend anybody buying the soft matte Stanley's until they improve the design for the paint to not cheap so easily.",0,0
29,0.115,0.739,0.146,0.4314,TerynH,1,False,01/08/2023,Don't get the matte Stanley!,"I was so excited about the matte tumbler when I bought it.  However, after a couple months of careful use, the matte coating has chipped off and the tumbler looks terrible.  The bottom where you set it down EASILY chips off.  Turns out it definitely IS NOT worth the extra money for the matte version, stick with the regular Stanley!  Bummer lessoned learned on my part....  And cosmetic damage isn't covered by warranty, so you are just out of luck.",0,0
30,0.089,0.797,0.114,0.0962,AshleyP,1,False,15/08/2023,Don't get the matte tumbler,"I don't know how this has good reviews, unless people are just reviewing as soon as they receive it and then never updating. The matte coating peels off after just a few weeks. Super bad quality, looks very cheap. I like Stanley cups in general, but would never recommend the matte edition.",0,0
31,0.108,0.84,0.052,-0.6798,elizabethd,1,False,26/08/2023,Material sucks,Peeling bad after 3 months of having it. Tried reaching out to customer support to get a new one but they said it was out of stock even though it isn't out of stock if I try to go purchase it on the website. Very disappointed since this cup is not cheap and I've only have it for 3 months now,0,0
32,0.031,0.756,0.213,0.977,AmandaM,1,False,12/10/2023,Soft Matte falls Flat,"I bought this cup in August '23 for my boyfriend, less than 2 weeks of use I submitted a warranty claim because of the peeling coat. Its a gorgeous color and I wish I had read the reviews, but its cute for a couple days. I submitted a claim and honestly, if I had the box I would've just returned it bc they made it seem like this wasn't their fault but eventually they said they could make it up to me by giving me a replacement 32 oz cup... i bought the 40oz.... no thanks. Now 2 months later the coating is atrocious looking with huge peel marks. This has never been washed and it doesn't leave the house so how is this happening??? Idk how this is still even on their site.",0,0
33,0.114,0.834,0.053,-0.8573,HannahP,2,False,20/08/2023,Disappointed,"I am disappointed with my Stanley quencher. When I first got it, the bottom of the cup immediately got scratch marks. Since it was on the bottom of the cup it was understandable as it touches a lot of surfaces and it was on the bottom so I didn't see it much. But then the scratches have shown up all over the cup. The matte finish has completely torn off in those areas and I am very disappointed. I am very careful with my Stanley cup and it is just disappointing that such an expensive cup doesn't hold up for even a few months. With all that said, I do love how much water it holds and how it keeps it cold for a long period of time. I am just disappointed that the look of it has not held up the way I thought it would.",0,0
34,0.053,0.908,0.039,-0.1692,AlaynaF,1,False,26/07/2023,Chipping,Cute cup but after a month it started chipping. I never put it in the dishwasher or dropped it. A lot of people are having this issue. I submitted a claim and they did nothing for me.I have 3 other Stanley's and none of them have this issue. I do not recommend the matte  cup.,0,0
35,0.033,0.718,0.25,0.936,JoannaG,3,False,23/10/2023,Stanley tumbler,Great water bottle but not worth the price. There are so many Stanley replicas that are sooo much cheaper and will keep your water cool for longer. It's cute and I love how portable it is but I've only had it for 2-3 months and the paint is wearing off,0,0
36,0.079,0.799,0.122,0.3071,JulieY,3,False,08/10/2023,Holes in Outer Material,"Great cup, but I was disappointed in how quickly the outer material started to get holes. I had only been using my cup for a couple of weeks, and I saw multiple holes in the soft outer material start to form. Given the price, I would have expected better quality.",0,0
37,0.153,0.757,0.09,-0.6994,MelissaM,1,False,27/07/2023,GARBAGE that Stanley doesn't even stand behind,I waited for months to spend the money on yet another tumbler. I'm a yeti fan and all the hype about this new cup confused me. I finally saw enough influencers in LOVE with this cup that I decided to try it out and I am SO DISAPPOINTED. It's already falling apart in ways my yeti never would. The soft matte just peels off after months of normal water drinking. It looks like a mess and Stanley's warranty “doesn't cover cosmetic defects” so there is no replacing it. What a waste of money. I'm going back to yeti.,0,0
38,0.083,0.865,0.052,-0.6128,Anonymous,2,False,01/08/2023,Chips and Peels,"I really liked this product when i first received it, but within the first few weeks I already noticed some chipping in the soft material. Everyday use has continued to chip and rub off the material on the bottom. I have had this cup now for 3 months and the material is starting to peel up the side from the bottom. I asked for a warranty and they told me it does not cover it. So I'm wondering what the warranty is for. It's cool that its soft to touch but poor design :(",0,0
39,0.0,0.774,0.226,0.9785,amber,4,False,09/09/2023,"great quality, but just some concerns!","i love this tumbler so much but there is just one thing. When i git mine in the mail, i was super exited. But when i took it out of its packaging, i noticed it had a rubber like thing on it. And i have the color shale btw. You would have to be super careful with this, because ive had mine for a month or two now, and the rubber is already staring to peel from the bottom. All together though, if you were to buy this, make sure you get a boot for it. But other than that, i would totally recommend!",0,0
40,0.072,0.928,0.0,-0.2144,Betty,1,True,02/06/2024,Damaged and missing straw!,"i disliked the fact that it was a returned item, and the person that evidently returned it---kept the straw, but yet it has a verified and a return lable...",0,0
41,0.0,0.81,0.19,0.6115,Wallace,5,True,22/06/2024,Very satisfied!,I was very happy with this purchase. My cup arrived sooner than expected. Planning to order another color soon.,0,0
42,0.22,0.78,0.0,-0.7346,Alyssa,3,False,21/12/2023,Disappointing,I just bought this cup and only used it 4 times and the handle just broke off. I'm very disappointed on how long this cup lasted,0,0
43,0.0,0.576,0.424,0.9325,RynataT,5,False,01/01/2024,Love it,Love my new cup. Everything stays cold. I love the color and the feel of the cup it's easy to keep clean and maintain.,0,0
44,0.071,0.74,0.189,0.5451,Erica,1,False,27/11/2023,Peeling,I honestly cannot recommend a soft mad. It was peeling within two weeks and the warranty does not cover any cosmetic or we tear every day even,0,0
45,0.152,0.624,0.223,0.2322,KaileyB,3,False,02/01/2024,Chipped,"This Stanley is nice but my chipped this morning, they chip so easily I heard but I got it anyways. I'm disappointed",0,0
46,0.204,0.69,0.106,-0.7383,JulieP,2,False,13/09/2023,Matte Finish Chips & Peels:(,Love the cup & keeps the water ice cold but the soft touch finish is awful. It chips and peels easily from cup holders and anything it touches- not even getting dropped. Very unhappy with how old and worn it looks so quickly.,0,0
47,0.0,0.852,0.148,0.7054,JeanR,1,False,03/08/2023,Paint Chipping,I can't believe it I have only had it for 5 months at the most and the paint is chipping off. Biggest rip off. So un happy!! Will never buy a Stanley again!,0,0
48,0.038,0.737,0.225,0.7463,CarlieN,4,False,14/08/2023,Great and Cute!,"I love my Quencher! 
It keeps my water cold for so long and after many refills too. 
Only downside was it chips easily on the bottom. But that's easily fixed and prevented with a protective sleeve.",0,0
49,0.148,0.852,0.0,-0.7079,Keira,1,False,25/10/2023,Do Not Buy Soft Matte,I've had this for about six months and not only is it very expensive but the covering started to peel! Do not buy the soft matte Stanley. Very disappointed.,0,0
50,0.0,0.674,0.326,0.9322,ErinR,1,False,28/07/2023,Peeling and not used much,"I did love this water bottle, but after 5 months it is starting to peel just like the other reviewers had said. I thought I would take a chance since the reviews are still good. Don't be fooled it will peel.",0,0
51,0.0,0.922,0.078,0.4005,KellieC,3,False,29/07/2023,Matte tears easily on its own,I was so excited to get the soft matte. After using it for 3 days the soft matte already has holes in it and continues to get more.  I would stick with the normal painted Stanley's.,0,0
52,0.078,0.85,0.072,-0.0754,AllisonN,1,False,30/08/2023,Disappointed,"The coating has started to peel off of my cup and I haven't even had 6months. It has only ever been hand washed and I haven't dropped. 
For the price of these cups it's really disappointing for it to already be peeling",0,0
53,0.093,0.774,0.132,0.1027,holly,2,False,09/10/2023,cute but chips,"the soft matte coating flakes/chips easily. i really wanted a certain color so i bought the soft matte as that was the only
style it was available in. for being $10 more, i'm disappointed",0,0
54,0.148,0.633,0.219,0.5716,AnnaK,2,False,25/08/2023,Would not buy this type again,Love the size great for someone who drinks water all the time... the outside started peeling off within 2 weeks not impressive with how expensive this brand is. :(,0,0
55,0.12,0.601,0.279,0.7839,JackieP,3,False,05/10/2023,Love and hate the soft matte finish,"Keeps things cold, love the color, love the handle, love the size. I'm obsessed with the soft matte finish but it is damaged incredibly easy. I wouldn't buy the soft matte finish again",0,0
56,0.128,0.674,0.198,0.1531,SamanthaA,2,False,10/08/2023,Don't buy soft matte,I wish I could have given this cup a Better rating but the peeling is excessive. I wish I would have known before that the soft matte was going to be such a horrible product,0,0
57,0.054,0.874,0.072,0.2023,ValerieS,2,False,03/09/2023,Don't buy,"The peeling on this cup is crazy, just from putting it in my cup holder my cup has peeled all around and the bottom of it is pretty much all peeled I can only assume that's from just standing the cup up",0,0
58,0.096,0.833,0.071,-0.2023,NATALIEH,1,False,20/09/2023,Matte Coating is Peeling,The bottom portion is peeling away despite only going in and out of a car cupholder maybe 5 times. Disappointed as I'm sure this peeling will only continue until its bare.,0,0
59,0.0,1.0,0.0,0.0,ZacharyB,1,False,22/09/2023,Not satisfied,Matte coating started peeling within 4 months. We only handwash but I guess traveling in a vehicle is too much for it. Warranty only covers thermal issues.,0,0
60,0.0,0.836,0.164,0.7078,cayleep,1,False,06/08/2023,handle fell off,the handle fell off today so this email to review my stanley couldn't have came at a more perfect time. the matte coating has also started peeling off excessively and just doesn't stop.,0,0
61,0.059,0.73,0.211,0.7719,LaQuitaT,1,False,08/08/2023,Disappointed actually,I'm not happy because the bottom of the cup and sides are already starting to rust I don't put this in dishwasher I was it by hand and it's like this I'm like all this money I paid for my cup to look like that,0,0
62,0.074,0.802,0.125,0.509,Eddie,2,False,08/11/2023,"Not recommended, handle came apart","The Handle came apart, and separated from the cup after less than a year.   Can not put handle back on.  Would not recommend, unless they replace it after I created a warranty claim.  If they replace, i'll come back to leave a positive review.",0,0
63,0.166,0.786,0.048,-0.7895,CassidyB,1,False,22/07/2023,Matte finish chipping after 2 weeks,"I loved this cup but after less than two weeks of use the finish is coming off! I didn't read the reviews before but should have, this seems to be a common problem. Really disappointed to have paid extra and now have the finish coming off.",0,0
64,0.091,0.796,0.113,0.2489,AmyC,1,False,16/11/2023,Ugh- Disappointment!,"Very disappointed. The matte coating is chipping off the bottom of the cup, and is starting to make its way upward. I'm super sad because the color is gorgeous, but eventually, I'll have a naked Stanley. DO NOT buy the matte-finished cups!",0,0
65,0.0,0.599,0.401,0.9658,MG,5,True,11/01/2024,Happy girl loves Stanley,My granddaughter loves her Stanley Tumblr. She loves the color. She loves the size. She loves the  quality. Partially I think it's a status symbol and the  reaction at school and sports has been so positive.,0,0
66,0.116,0.825,0.059,-0.4215,bryan,2,True,04/01/2024,The wrong straw has me feeling sketchy,"The cup was the right color and it has Stanley branding, but the straw was the wrong straw, which has me questioning the legitimacy of the cup I purchased. If you are going to upcharge $30, at least make sure you include the correct straw.",0,0
67,0.069,0.876,0.054,-0.128,Ann,2,True,17/01/2024,Did not meet my expectations,I returned the cup.  The top that holds the straw was loose and the straw was not the straw that comes with Stanley cups.  I returned the merchandise and am awaiting my refund.,0,0
68,0.197,0.749,0.054,-0.5851,Amber,1,True,14/01/2024,Knock off,"This was not a Stanley was a clear knock off. Was light weight, lid didn't fit, straw was a cheap plastic one, handle placement was off and top plastic piece was loose",0,0
69,0.089,0.852,0.059,-0.3595,Hannah,1,True,02/01/2024,Not worth the hype,"The worst cup that doesn't keep cold drinks. 
I have a simple modern 40oz cup that is only $30 and keeps my coffee cold with ice til a good 3/4 pm. This cup by 11 am was all water down 🤢 ewwwwwwww! Over priced and doesn't even work",0,0
70,0.0,0.58,0.42,0.4404,Doris,1,True,06/07/2024,Didn't get the merchandise it was sent somewhere,Hope they get there order,0,0
71,0.171,0.829,0.0,-0.4767,PapaBear,1,True,11/07/2024,Fake,Returning… doesn't match another Stanley Cup that I have. It has all the signs of being fake.,0,0
72,0.0,0.909,0.091,0.0772,frankie,5,True,12/07/2024,amazing,it  keeps water cold for awhile and that is what i want from a water bottle,0,0
73,0.0,0.469,0.531,0.88,denise,5,True,02/07/2024,Great,"Was sent the item with a small gift inside! 
Loved it ! Thank you!🥰",0,0
74,0.0,0.549,0.451,0.8118,KimH,5,False,29/12/2023,Great Christmas gift,This was a Christmas gift for my daughter and she loved it!!,0,0
75,0.11,0.609,0.281,0.6696,ChanelR,5,False,03/01/2024,Dirty Santa gift!,Love it. Was dirty Santa gift. Big hit! Husband and kids and I each got one after seeing this one.,0,0
76,0.0,0.841,0.159,0.3506,LadyR,5,False,24/11/2023,Cute,Its design is beautiful. but it filters. so its functionality must be worked on.,0,0
77,0.0,0.9,0.1,0.2732,LoriV,2,False,18/09/2023,Poor material quality,"After 2 weeks of use it started chipping. I got a replacement, same thing. I hand wash them but the material doesn't hold up b",0,0
78,0.0,0.898,0.102,0.3818,ShannonS,3,False,12/08/2023,40oz review,Love the cup but it doesn't take long for the material to start peeling off. They need to do something so this doesn't happen,0,0
79,0.163,0.574,0.263,0.6486,juliep,3,False,17/09/2023,Cold drinks but ugly cup from chipping,"Within a week of having this amazing cup, it started chipping. Love the cup- sad about the appearance and lack of quality matte finish.",0,0
80,0.0,0.477,0.523,0.9354,Stlmom,5,True,07/06/2024,Gift for my family,It was a gift for my niece but she loves it! Excited to find it at a good price.,0,0
81,0.0,0.627,0.373,0.9059,JoseG,4,False,23/07/2023,Great purchase,"I purchased the matte, great cup! Love the handle! Only reason I did not give it 5 stars is because it scuffs easily if dropped.",0,0
82,0.0,1.0,0.0,0.0,VictoriaW,2,False,16/08/2023,Coating chips and peels,The matte coating started to peel and chip off almost immediately. Not the quality I have come to expect from Stanley,0,0
83,0.137,0.863,0.0,-0.4344,MackennaH,5,False,13/08/2023,Only the best.,It's my first Stanley and I'm obsessed with the soft matte feel. I have it in the lilac color. LOVE!!!!,0,0
84,0.0,0.591,0.409,0.9149,Stanleyloverrrr,5,False,11/11/2023,"THeY aRrrreee LifE ChanGing!!! 500,000,000/5",WE loVe aRE sTanLeY CuPsssssss ThEy ArEeeee ThE BesT. THeY Fit iN CUp HoLDeRssss!!! AlSo TheY keeP aRE waTer CoLdddddd.,0,0
85,0.12,0.816,0.064,-0.3802,Butterflygirl25,1,True,17/01/2024,Phony Stanley,This was a replica Stanley and shame on the company who intentionally sold it for top dollar and not mention it in the description. I returned it!,0,0
86,0.166,0.834,0.0,-0.5255,Nicole,1,True,06/01/2024,FAKE!,"DO NOT BUY! Item is a fake knock-off and was not the “matte” version, as advertised. Ended up returning.",0,0
87,0.092,0.725,0.183,0.9343,Anonymous,2,False,04/07/2023,Buyer Beware,"It will chip.
The cup is great, fits in most cup holders and keeps things relatively cold (haven't tried anything warm). But no matter how cautious you are it will chip, and it's not going to take more than 3 months to do it. I've only hand washed it, and am super careful about the surfaces I set it on. I've had other brands that took a very long time before it started chipping, needless to say it was very disappointing. And to top it off, they don't cover cosmetic damage, which honestly they should either start thinking about covering it, or redoing the coating with some other material because I am sure I am not the first or the last to complain about it. Know that if you buy this product, you're paying for faulty coating, might as well ge...",0,0
88,0.058,0.764,0.178,0.8749,AshleyW,4,False,06/03/2023,My Travel Go-To! ◡̈,LOVE IT! Keeps ice for 24+ hours. My only complaint would be the paint chipping at the bottom of my cup. I am not rough with the cup at all; and take very good care of it.. yet the paint is still chipping. Other than that though; I'm obsessed with it and take it everywhere I go. ◡̈,0,0
89,0.0,0.95,0.05,0.3818,KMeff,2,False,02/11/2022,Soft Matte finish peels/cracks right away.,"I purchased with the early sale code. After using my tumbler for a little over a day the ""soft matte"" finish already started peeling on the bottom. I love the cup itself and the feel of the soft matte finish but this is not what I would expect. Especially with paying more for the finish.",0,0
90,0.076,0.731,0.193,0.8395,CaitlinG,4,False,30/01/2023,Beautiful but not durable,I was so excited to get this cup! It keeps ice fairly well and the cup is such a great color! It definitely helps me keep up with my water intake. I've only had it for a couple weeks now and unfortunately the matte coating is coming off. I'm not rough with it and it is chipping. I am very disappointed with the durability of the cup.,0,0
91,0.089,0.852,0.059,-0.1548,MariaS,3,False,03/02/2023,Soft Matte not great,"I really liked this tumbler, however I haven't even had it for a month and parts of the red material are falling off. It's not in area where it would hit or be against anything, I haven't dropped it or scraped it against anything. I'm disappointed in the quality considering the cost.",0,0
92,0.043,0.823,0.134,0.9378,StephanieF,1,False,21/12/2022,This peels easily!,"If I could give this less than a star I would. It started really well, and I loved how big it was and how much it held. Then I noticed peeling on the coating….ok no big. Maybe it got caught on something and had a slight scratch. It was about the size of a dot with a pen mark. Put it in the dishwasher and this happens! Not only is the soft matte silicone coating peeling…it had little scraps all over my dishwasher I had to clean out. I've submitted a warranty claim, but still no response. Even though I loved the soft matte texture better than the traditional coating (like a yeti or hydro flask feel)…it's not worth this headache and hassle! 

If you're going to buy one, I'd go with the traditional coating. They clearly did not test this out be...",0,0
93,0.029,0.892,0.079,0.5635,MarquitaB,4,False,01/04/2023,Matte finish chips,"Overall I am addicted to this tumbler! The soft matte is definitely an eye catcher and convo starter with other Stanley tumbler users. Only gave it 4 stars because with daily use and non abrasive cleaning, the bottom matte finish started to chip in less than a week. Once it starts it worsens rapidly. This doesn't affect the use of the tumbler but is definitely takes away from its appearance.",0,0
94,0.025,0.853,0.122,0.8209,Justme,5,False,05/02/2023,Absolutely perfect!!!!,"I have been a sucker for any pretty tumbler over the years so when my daughter-in-law got her first Stanley cup I knew I had to get one. The large size is great, fits in my cup holder perfectly, keeps my water cold all day, the handle is wonderful but the matte finish and the color is what makes it absolutely perfect!!!! I am now at the point where I am getting rid of all my other cups and starting a new collection of only Stanley cups!!!!",0,0
95,0.09,0.711,0.199,0.7717,MeganC,2,False,21/07/2023,Skip the Soft Matte,"Love the cup and the color, unfortunately the soft matte is peeling off the cup which is super disappointing and doesn't meet the typical Stanley quality or durability 

They won't process this under warranty because it's “cosmetic”. 

Buy the normal ones if you want long lasting satisfaction with your Stanley.",0,0
96,0.053,0.815,0.131,0.5719,LexieF,2,False,04/01/2023,Subpar,"I like the overall cup. My finish is cracked/chipping off and I also am unable to get the straw to line up with the logo, so it's always crooked. Definitely disappointing for the price of the cup. I wish I would've gotten the regular finish instead of the soft matte as the durability and quality is lacking.",0,0
97,0.0,0.768,0.232,0.8997,JazlynnB,4,False,15/03/2023,"Love it, just one caviaught","Love everything about this Tumbler, everyone is always complimenting the Matte feeling. With that being said, it does start to peel and scrape off over time. Still my go to cup, but hopefully the next version can stand the wear and tear of daily activity a little bit better.",0,0
